Kategorie: Alle Kategorien

Region,Grau: (2013),Schwarz: (2013),Weiß: (2013),Silber: (2013),Blau: (2013)
Saarland,21,100,73,25,61
Thüringen,16,80,93,23,41
Mecklenburg-Vorpommern,16,86,81,22,40
Brandenburg,15,83,77,22,40
Sachsen-Anhalt,15,80,80,22,41
Baden-Württemberg,17,80,62,21,34
Bayern,16,80,64,22,34
Bremen,18,79,71,23,35
Nordrhein-Westfalen,18,79,68,21,38
Rheinland-Pfalz,17,79,65,21,35
Schleswig-Holstein,18,78,68,23,36
Hessen,16,77,61,21,35
Niedersachsen,16,76,64,21,36
Sachsen,14,76,74,21,38
Hamburg,18,73,64,22,36
Berlin,14,72,62,19,35
