Kategorie: Alle Kategorien

Region,Grau: (2015),Schwarz: (2015),Weiß: (2015),Silber: (2015),Blau: (2015)
Saarland,27,100,75,26,56
Thüringen,21,82,87,23,42
Mecklenburg-Vorpommern,22,86,81,23,43
Brandenburg,20,85,77,23,44
Nordrhein-Westfalen,24,83,71,23,42
Rheinland-Pfalz,23,83,69,23,40
Bremen,25,82,74,25,40
Baden-Württemberg,21,82,63,21,35
Sachsen-Anhalt,20,82,82,23,44
Bayern,21,82,66,22,37
Niedersachsen,24,80,71,23,41
Hessen,22,78,64,22,38
Sachsen,19,78,75,21,42
Hamburg,24,78,65,23,38
Schleswig-Holstein,25,77,70,23,39
Berlin,19,75,62,20,40
